Customer Name,State,Order Time,Amount (INR)
Rahul Sharma,Bihar,18:47,546.36
Rahul Roy,Bihar,19:27,371.88
Vivaan Sharma,Maharashtra,19:01,629.44
Vikram Singh,Bihar,16:14,237.36
Kabir Gupta,Rajasthan,19:51,400.86
Rohan Kulkarni,Tamil Nadu,18:48,508.27
Ishita Patel,Maharashtra,16:22,536.26
Sanjay Mehta,Gujarat,18:59,198.67
Meera Patel,West Bengal,17:56,664.09
Pooja Gupta,Delhi,18:14,367.1
Neha Patel,Delhi,20:29,289.04
Pooja Verma,Punjab,16:44,631.56
Aditya Gupta,Madhya Pradesh,21:10,675.93
Kabir Iyer,Rajasthan,23:35,403.08
Ananya Roy,Punjab,21:14,160.14
Vivaan Yadav,Punjab,18:58,458.76
Ritika Reddy,Bihar,17:25,661.36
Kabir Verma,Rajasthan,22:34,648.84
Sneha Kulkarni,Uttar Pradesh,15:23,523.56
Ananya Verma,West Bengal,13:55,432.31
Rahul Verma,Madhya Pradesh,21:38,649.56
Aditya Iyer,Tamil Nadu,16:16,305.39
Vikram Mishra,Gujarat,18:56,339.59
Vikram Yadav,Rajasthan,19:18,256.98
Arjun Verma,Kerala,23:46,425.87
Sneha Das,Karnataka,17:40,415.88
Neha Mishra,Madhya Pradesh,17:23,414.23
Rohan Das,West Bengal,22:31,300.77
Aarav Patel,Punjab,23:19,185.41
Ananya Sharma,Delhi,23:05,117.44
Diya Mishra,Maharashtra,22:08,389.38
Karan Roy,Kerala,20:33,384.55
Sanjay Iyer,Delhi,23:44,289.55
Priya Kulkarni,Rajasthan,15:23,579.28
Kabir Reddy,West Bengal,16:04,460.78
Ishita Sharma,Uttar Pradesh,15:00,340.28
Aditya Kulkarni,Madhya Pradesh,20:02,444.31
Ishita Patel,West Bengal,19:13,686.9
Vikram Verma,Bihar,22:30,327.69
Ananya Yadav,Kerala,19:06,310.56
Arjun Joshi,Tamil Nadu,13:03,610.5
Rahul Sharma,Tamil Nadu,18:06,99.78
Ananya Singh,Delhi,17:11,397.64
Sneha Nair,Delhi,19:51,369.44
Vikram Patel,Gujarat,16:00,236.61
Aditya Reddy,Delhi,20:13,599.52
Meera Reddy,Gujarat,19:24,430.16
Sneha Reddy,Kerala,17:46,691.21
Vikram Roy,Bihar,17:13,429.77
Vivaan Gupta,Bihar,14:03,341.69
Vivaan Gupta,Kerala,13:10,413.69
Vivaan Das,Maharashtra,19:04,365.47
Ananya Iyer,Maharashtra,22:37,336.13
Sanjay Sharma,Uttar Pradesh,22:36,549.79
Aisha Joshi,Rajasthan,20:15,693.96
Sneha Iyer,Karnataka,17:20,286.01
Aditya Sharma,Kerala,16:06,260.23
Aditya Das,Delhi,17:22,416.45
Aditya Reddy,Delhi,17:53,497.1
Vikram Kulkarni,Rajasthan,12:41,80.0
Aisha Sharma,Madhya Pradesh,20:42,281.46
Rahul Reddy,Karnataka,18:47,796.41
Vikram Verma,Rajasthan,18:21,541.34
Priya Roy,Madhya Pradesh,21:16,249.53
Vivaan Patel,Madhya Pradesh,16:00,486.92
Ishita Yadav,Karnataka,17:47,313.54
Kabir Das,Bihar,18:04,431.01
Karan Das,Gujarat,21:09,214.91
Arjun Verma,Gujarat,16:50,779.89
Vivaan Reddy,Punjab,19:06,552.12
Pooja Yadav,West Bengal,21:39,297.68
Karan Reddy,Delhi,23:51,80.0
Rohan Reddy,Tamil Nadu,23:21,465.6
Arjun Yadav,Madhya Pradesh,22:17,172.36
Rohan Yadav,Bihar,23:54,649.34
Diya Singh,Delhi,20:19,237.33
Ananya Singh,Gujarat,17:17,266.75
Aditya Yadav,Rajasthan,16:43,592.88
Vikram Joshi,Gujarat,23:11,736.61
Ritika Mehta,Gujarat,21:46,541.03
Ishita Iyer,Uttar Pradesh,20:57,411.18
Ritika Singh,Rajasthan,22:33,473.04
Vikram Roy,Bihar,23:12,312.15
Pooja Iyer,Maharashtra,23:39,292.02
Ishita Roy,Maharashtra,18:19,270.61
Arjun Joshi,Tamil Nadu,17:12,203.6
Arjun Roy,Tamil Nadu,16:39,80.0
Ritika Mehta,Tamil Nadu,18:18,418.48
Priya Iyer,Uttar Pradesh,16:28,321.39
Kabir Roy,Delhi,13:50,397.56
Rohan Roy,Maharashtra,18:39,679.83
Ishita Patel,Delhi,18:12,306.41
Karan Sharma,Gujarat,19:54,624.27
Aditya Nair,Tamil Nadu,21:45,265.4
Meera Nair,Tamil Nadu,19:00,682.79
Rahul Yadav,Tamil Nadu,20:44,738.81
Aisha Nair,Gujarat,12:07,278.11
Kabir Verma,Kerala,14:38,80.0
Ishita Yadav,Kerala,15:32,233.45
Arjun Mishra,West Bengal,17:55,455.33
Diya Nair,Rajasthan,19:17,80.0
Aisha Nair,Madhya Pradesh,19:45,613.36
Neha Singh,Rajasthan,15:05,746.54
Karan Verma,Delhi,17:13,489.51
Aditya Iyer,Tamil Nadu,17:03,596.13
Priya Mishra,Tamil Nadu,15:44,617.43
Aarav Mishra,Uttar Pradesh,18:22,433.37
Neha Yadav,Tamil Nadu,23:26,80.0
Vikram Kulkarni,Bihar,15:14,350.05
Diya Singh,Rajasthan,18:21,437.14
Meera Kulkarni,Karnataka,22:39,80.0
Vikram Sharma,Tamil Nadu,15:05,275.09
Arjun Verma,Kerala,19:20,547.07
Priya Nair,Punjab,15:17,735.82
Arjun Mehta,Maharashtra,14:03,475.52
Pooja Singh,Madhya Pradesh,23:02,608.91
Aarav Singh,Delhi,21:15,207.55
Karan Nair,Madhya Pradesh,23:29,707.97
Sneha Yadav,Punjab,21:47,633.98
Rahul Yadav,Karnataka,20:01,401.07
Neha Gupta,Madhya Pradesh,21:45,324.62
